,11_bin.53,21_bin.10,21_bin.47,22_bin.14,22_bin.5,23_bin.50,24_bin.42,24_bin.63,24_bin.64,25_bin.7,26_bin.35,26_bin.9,27_bin.15,28_bin.46,28_bin.47,29_bin.10,29_bin.22,29_bin.35,29_bin.53,31_bin.18,31_bin.4,32_bin.53,34_bin.2,34_bin.28,34_bin.29,34_bin.7,36_bin.22,36_bin.32,36_bin.39,37_bin.57,38_bin.9,39_bin.35,39_bin.46,40_bin.5,41_bin.32,41_bin.35,41_bin.37,41_bin.38,41_bin.76,42_bin.21,42_bin.6,43_bin.28,43_bin.34,43_bin.39,43_bin.59,44_bin.27,44_bin.41,44_bin.50,45_bin.16,46_bin.21,46_bin.56,46_bin.59,46_bin.73,47_bin.13,47_bin.30,47_bin.61,47_bin.64,48_bin.50,48_bin.65,49_bin.10,49_bin.68,49_bin.94,50_bin.1
M00002,100,100,100,100,100,100,80,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,80,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
M00003,85.71,100,100,100,85.71,100,71.43,100,85.71,85.71,71.43,100,100,85.71,100,85.71,85.71,100,85.71,85.71,100,100,85.71,71.43,100,85.71,85.71,85.71,100,100,100,100,85.71,85.71,100,85.71,85.71,85.71,57.14,100,85.71,71.43,85.71,71.43,100,85.71,71.43,100,85.71,100,71.43,85.71,85.71,85.71,100,85.71,85.71,100,85.71,100,85.71,71.43,85.71
M00004,85.71,100,100,100,100,100,85.71,100,100,57.14,71.43,100,100,100,100,71.43,85.71,100,100,100,100,100,100,85.71,100,71.43,100,71.43,100,100,100,100,100,85.71,100,100,71.43,71.43,85.71,100,100,71.43,100,100,100,71.43,100,100,85.71,100,85.71,71.43,71.43,71.43,100,100,71.43,100,100,100,71.43,100,42.86
M00005,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
M00006,100,100,100,100,100,100,50,100,100,50,0,100,100,100,100,0,50,100,100,100,100,100,100,50,100,0,100,0,100,100,100,100,100,50,100,100,0,0,50,100,100,0,100,100,100,0,100,100,100,100,100,0,50,50,100,100,0,100,100,100,0,100,0
M00007,75,100,100,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,75,100,100,100,100,100,100,100,100,75
M00008,50,50,50,50,50,50,25,50,50,25,25,50,50,50,50,25,25,50,50,50,50,50,50,25,50,25,50,25,50,50,50,50,50,25,50,50,25,25,75,50,50,25,50,75,50,25,50,50,75,50,75,25,50,0,50,50,0,50,50,50,25,75,0
M00009,62.5,100,75,87.5,50,87.5,62.5,87.5,100,50,87.5,87.5,87.5,100,75,62.5,75,75,100,100,75,87.5,100,50,75,87.5,50,75,87.5,75,87.5,75,87.5,62.5,87.5,75,87.5,87.5,75,75,100,50,100,87.5,75,87.5,100,75,75,75,87.5,87.5,75,37.5,75,100,87.5,75,100,87.5,62.5,100,62.5
M00010,66.67,100,66.67,100,100,100,100,100,100,100,100,100,100,100,66.67,100,100,66.67,100,100,66.67,100,100,33.33,66.67,100,33.33,100,100,66.67,100,66.67,100,100,100,100,100,100,66.67,66.67,100,100,100,100,66.67,100,100,66.67,100,66.67,100,100,66.67,66.67,100,100,100,66.67,100,100,66.67,100,100
M00011,60,100,80,80,20,80,40,80,100,20,80,80,80,100,80,40,60,80,100,100,80,80,100,60,80,80,60,60,80,80,80,80,80,40,80,60,80,80,80,80,100,20,100,80,80,80,100,80,60,80,80,80,80,20,60,100,80,80,100,80,60,100,40
M00012,80,100,40,60,80,60,100,60,100,80,100,60,60,100,40,80,80,40,100,100,40,60,100,40,40,100,80,100,60,40,60,40,100,80,60,80,100,100,40,40,100,80,100,60,40,100,100,40,100,40,60,100,80,60,60,100,100,40,100,60,80,60,80
M00013,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25
M00014,14.29,14.29,14.29,14.29,14.29,14.29,0,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,28.57,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,28.57,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,28.57,14.29,14.29,14.29,14.29,14.29,14.29,28.57,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,28.57,28.57
M00015,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0
M00016,88.89,77.78,22.22,33.33,88.89,33.33,88.89,33.33,77.78,33.33,77.78,33.33,33.33,88.89,33.33,77.78,88.89,33.33,88.89,88.89,33.33,33.33,77.78,77.78,33.33,77.78,66.67,77.78,33.33,33.33,33.33,44.44,77.78,33.33,33.33,77.78,77.78,66.67,88.89,44.44,88.89,66.67,88.89,88.89,33.33,77.78,88.89,33.33,33.33,33.33,77.78,77.78,66.67,77.78,33.33,88.89,66.67,33.33,88.89,33.33,77.78,66.67,33.33
M00017,42.86,57.14,28.57,28.57,57.14,28.57,57.14,28.57,57.14,28.57,57.14,28.57,28.57,57.14,28.57,57.14,57.14,28.57,57.14,57.14,28.57,28.57,57.14,42.86,28.57,57.14,57.14,57.14,28.57,28.57,28.57,28.57,57.14,28.57,28.57,57.14,57.14,42.86,57.14,28.57,57.14,42.86,57.14,42.86,28.57,57.14,57.14,28.57,28.57,28.57,42.86,57.14,42.86,57.14,28.57,57.14,57.14,28.57,57.14,28.57,57.14,57.14,28.57
M00018,100,100,20,20,80,20,80,20,100,40,100,20,20,100,20,100,80,20,100,100,20,20,100,80,20,100,80,100,20,20,20,20,80,40,20,100,100,80,100,20,100,80,100,80,20,80,100,20,40,20,80,100,60,80,20,100,100,20,80,20,100,100,40
M00019,0,0,25,25,0,25,25,25,0,75,75,25,25,0,25,75,25,25,0,0,25,25,0,100,25,75,0,100,25,25,25,25,0,75,25,0,25,0,100,25,0,100,0,75,25,75,0,25,75,25,100,75,25,25,0,0,100,25,0,25,75,75,75
M00020,33.33,33.33,66.67,66.67,33.33,33.33,0,66.67,33.33,33.33,66.67,66.67,66.67,33.33,66.67,66.67,0,66.67,33.33,33.33,66.67,66.67,33.33,100,66.67,66.67,0,66.67,66.67,66.67,66.67,66.67,33.33,33.33,66.67,33.33,66.67,66.67,33.33,66.67,33.33,66.67,33.33,66.67,66.67,66.67,33.33,66.67,33.33,66.67,66.67,66.67,0,0,33.33,33.33,33.33,66.67,33.33,66.67,66.67,33.33,33.33
M00021,50,100,0,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50,50,50,0,50,50,0,50,50,50,50,50,50,50,50,50,50,0,50,50,0
M00022,75,100,100,100,50,100,75,100,100,75,100,75,100,100,100,100,75,100,100,100,100,100,100,75,100,75,100,100,100,100,100,100,100,75,100,100,75,100,75,100,100,100,100,75,100,75,50,100,75,100,100,75,75,75,75,100,75,100,100,100,100,100,100
M00023,66.67,100,66.67,66.67,33.33,66.67,33.33,66.67,100,66.67,100,66.67,66.67,100,66.67,100,66.67,66.67,100,100,66.67,66.67,100,0,66.67,100,100,100,66.67,66.67,66.67,66.67,100,33.33,66.67,100,100,66.67,100,33.33,100,100,100,100,66.67,100,100,66.67,66.67,66.67,100,100,0,66.67,33.33,100,100,66.67,100,66.67,100,100,66.67
M00024,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50
M00025,0,0,0,0,0,0,50,0,0,50,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,50,0,50,0,0,0,0,0,0,0,50,50,50
M00026,0,0,66.67,66.67,0,66.67,66.67,66.67,0,33.33,66.67,66.67,66.67,0,66.67,50,50,66.67,0,0,66.67,66.67,0,50,66.67,66.67,0,50,66.67,66.67,66.67,66.67,0,33.33,66.67,0,66.67,66.67,66.67,66.67,0,66.67,0,50,66.67,66.67,0,66.67,33.33,66.67,83.33,66.67,50,50,66.67,0,66.67,66.67,0,66.67,66.67,83.33,33.33
M00027,33.33,33.33,0,0,33.33,0,0,0,33.33,0,33.33,0,0,33.33,0,33.33,33.33,0,33.33,33.33,0,0,33.33,0,0,33.33,33.33,33.33,0,0,0,0,33.33,0,0,33.33,33.33,0,33.33,0,33.33,0,33.33,33.33,0,33.33,33.33,0,0,0,33.33,33.33,33.33,33.33,0,33.33,0,0,33.33,0,33.33,0,0
M00028,100,50,75,75,50,75,100,75,100,100,100,75,75,100,75,100,100,75,100,100,75,75,50,100,75,100,100,100,75,75,75,75,100,100,75,100,100,50,100,75,100,100,100,100,75,100,100,75,100,75,75,100,75,100,75,100,100,75,100,75,100,75,100
M00029,60,60,60,80,40,80,40,80,60,40,80,60,80,60,80,60,60,80,60,60,80,80,60,40,80,60,60,60,80,60,60,80,60,40,80,60,60,60,40,80,60,60,60,60,80,60,60,60,60,60,20,60,40,60,80,60,60,80,60,80,60,60,60
M00032,42.86,57.14,57.14,57.14,28.57,57.14,42.86,57.14,57.14,42.86,42.86,57.14,57.14,57.14,57.14,42.86,57.14,57.14,57.14,57.14,57.14,57.14,57.14,14.29,57.14,42.86,42.86,42.86,42.86,57.14,57.14,57.14,42.86,42.86,57.14,57.14,42.86,42.86,28.57,57.14,57.14,28.57,57.14,42.86,57.14,42.86,57.14,57.14,42.86,57.14,42.86,28.57,57.14,42.86,42.86,57.14,28.57,57.14,42.86,57.14,42.86,57.14,42.86
M00033,40,40,0,0,40,0,40,0,40,0,40,0,0,40,0,40,40,0,40,40,0,0,40,20,0,40,40,40,0,0,0,0,40,0,0,40,40,40,40,0,40,20,40,40,0,40,40,0,0,0,40,40,20,40,0,40,40,0,40,0,40,40,0
M00034,12.5,12.5,25,25,12.5,25,12.5,25,12.5,37.5,25,25,25,12.5,25,25,25,25,12.5,12.5,25,25,12.5,12.5,25,25,12.5,25,25,25,25,25,12.5,37.5,25,12.5,25,25,25,25,12.5,25,12.5,25,25,25,12.5,25,25,25,12.5,25,25,25,12.5,12.5,25,25,12.5,25,25,25,50
M00035,75,75,75,75,50,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,50,75,75,75,75,75,75,50,75,75,75,100,75,75,75,75,100,100,75,75,75,75,75,75,100,75,75,50,75,100,75,75,75,75,75,100,75
M00036,0,0,16.67,16.67,0,16.67,16.67,16.67,0,16.67,33.33,16.67,16.67,0,16.67,33.33,16.67,16.67,0,0,16.67,16.67,0,16.67,16.67,33.33,0,33.33,16.67,16.67,16.67,16.67,0,16.67,16.67,0,33.33,0,16.67,16.67,0,33.33,0,16.67,16.67,33.33,0,16.67,16.67,16.67,16.67,33.33,33.33,16.67,0,0,33.33,16.67,0,16.67,33.33,16.67,16.67
M00037,0,25,0,0,0,0,25,0,25,0,25,0,0,25,0,25,25,0,25,25,0,0,25,0,0,25,25,25,0,0,0,0,25,0,0,25,25,25,25,0,25,25,25,25,0,25,0,0,0,0,25,25,25,0,0,25,25,0,25,0,25,25,0
M00038,28.57,42.86,42.86,42.86,14.29,42.86,42.86,42.86,42.86,28.57,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,14.29,42.86,42.86,28.57,42.86,42.86,42.86,42.86,42.86,42.86,28.57,42.86,42.86,42.86,42.86,0,42.86,42.86,28.57,42.86,0,42.86,42.86,28.57,42.86,28.57,42.86,0,28.57,42.86,42.86,42.86,28.57,42.86,42.86,42.86,42.86,42.86,0,28.57
M00039,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,10,10
M00042,0,25,0,0,0,0,25,0,25,0,25,0,0,25,0,25,25,0,25,25,0,0,25,0,0,25,25,25,0,0,0,0,25,0,0,25,25,25,25,0,25,25,25,25,0,25,0,0,0,0,25,25,25,0,0,25,25,0,25,0,25,25,0
M00044,20,60,60,60,40,60,60,60,60,0,0,60,60,60,60,0,60,60,60,60,60,60,40,0,60,0,40,0,40,60,60,60,20,0,60,60,0,0,0,60,60,0,60,0,60,0,60,60,0,60,0,0,60,60,40,60,0,60,60,60,0,0,0
M00045,75,75,100,100,50,100,100,100,100,50,75,100,100,75,100,75,100,75,75,75,100,100,100,0,100,75,50,75,75,75,75,75,50,75,75,75,75,75,25,100,75,75,75,0,75,75,75,75,75,75,25,75,100,100,75,75,75,75,75,75,75,25,75
M00046,0,0,0,0,0,0,0,0,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,66.67,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
M00048,75,100,100,100,87.5,100,87.5,100,100,87.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,87.5,87.5,100,100,100,100,100,100,87.5,100,100,100,75,100,100,100,100,100,87.5,100,100,100,100,100,100,100,100,100,100,100,100,87.5,100,100,100,100,100,100
M00049,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,75,75,100,100,100,100,100,75,100,100,100,100,100,75,100,100,100,100,75,100,100,100,100,100,100,100,100,75,75,100,100,100,100,100,100,100,75,100
M00050,100,75,100,100,75,100,100,100,75,100,100,100,100,75,100,100,100,100,100,100,100,100,75,75,100,75,50,100,100,100,100,100,75,100,100,75,100,100,75,100,75,100,100,100,100,100,75,100,100,100,75,100,75,100,100,100,100,100,100,100,100,100,100
M00051,66.67,66.67,66.67,66.67,33.33,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,33.33,66.67,66.67,33.33,66.67,66.67,66.67,33.33,66.67,66.67,66.67,33.33,66.67,66.67,33.33,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,33.33,33.33,66.67,33.33,33.33,66.67,33.33,33.33,66.67,66.67,66.67,33.33,66.67,66.67,66.67,66.67,66.67,66.67,33.33,66.67
M00052,100,100,66.67,66.67,100,66.67,66.67,66.67,100,66.67,100,66.67,66.67,100,66.67,100,66.67,66.67,100,100,66.67,66.67,100,100,66.67,100,100,100,66.67,66.67,66.67,66.67,100,33.33,66.67,100,100,100,100,66.67,100,100,100,66.67,66.67,100,100,66.67,33.33,66.67,100,100,66.67,66.67,66.67,100,100,66.67,100,66.67,100,100,100
M00053,62.5,62.5,12.5,12.5,62.5,12.5,25,12.5,62.5,25,62.5,12.5,12.5,62.5,12.5,75,25,12.5,62.5,62.5,12.5,12.5,62.5,50,12.5,62.5,62.5,62.5,12.5,12.5,12.5,12.5,62.5,25,12.5,62.5,62.5,75,62.5,12.5,62.5,62.5,62.5,50,12.5,62.5,50,12.5,25,12.5,37.5,62.5,25,25,12.5,62.5,62.5,12.5,62.5,12.5,62.5,62.5,50
M00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,7.69,0
M00078,12.5,12.5,12.5,12.5,12.5,12.5,0,12.5,12.5,0,0,12.5,12.5,12.5,12.5,0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,0,12.5,0,0,0,12.5,12.5,12.5,12.5,12.5,0,12.5,12.5,0,0,12.5,12.5,12.5,0,12.5,12.5,12.5,0,12.5,12.5,0,12.5,12.5,0,12.5,12.5,12.5,12.5,0,12.5,12.5,12.5,0,12.5,0
M00079,0,0,25,25,0,25,25,25,0,0,0,25,25,0,25,0,25,25,0,0,25,25,0,0,25,0,0,0,25,25,25,25,0,0,25,0,0,0,25,25,0,0,0,25,25,0,0,25,25,25,0,0,25,25,25,0,0,25,0,25,0,25,25
M00080,8.33,8.33,0,8.33,8.33,8.33,16.67,8.33,8.33,16.67,8.33,0,8.33,0,8.33,8.33,16.67,8.33,0,0,8.33,8.33,0,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,0,16.67,8.33,0,8.33,8.33,8.33,8.33,8.33,8.33,0,8.33,8.33,8.33,0,8.33,16.67,8.33,8.33,8.33,25,25,8.33,0,8.33,8.33,0,8.33,8.33,8.33,16.67
M00082,50,100,50,100,0,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,50,100,50,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,50,50,100,100,100,100,100,100,100,50
M00114,14.29,28.57,14.29,14.29,14.29,28.57,14.29,28.57,14.29,14.29,14.29,28.57,28.57,14.29,28.57,14.29,14.29,14.29,14.29,14.29,28.57,28.57,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,0,28.57,14.29,14.29,28.57,28.57,28.57,14.29,14.29,14.29,28.57,14.29,14.29,14.29,14.29,14.29,28.57,28.57,14.29,0,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,28.57,14.29
M00115,60,100,80,80,60,80,80,80,100,20,100,80,80,100,80,100,80,80,100,100,80,80,100,60,80,100,60,100,80,80,80,80,100,20,80,100,100,100,100,80,100,100,100,100,80,100,100,80,40,80,100,100,80,80,60,100,100,80,100,80,100,100,20
M00116,16.67,16.67,83.33,83.33,16.67,83.33,66.67,83.33,16.67,16.67,16.67,83.33,83.33,16.67,83.33,16.67,83.33,83.33,16.67,16.67,83.33,83.33,16.67,16.67,83.33,16.67,16.67,0,83.33,83.33,83.33,83.33,16.67,16.67,83.33,16.67,16.67,16.67,16.67,83.33,16.67,16.67,16.67,16.67,83.33,16.67,16.67,83.33,16.67,83.33,16.67,16.67,33.33,83.33,0,16.67,16.67,83.33,16.67,83.33,16.67,16.67,16.67
M00118,50,50,50,50,50,50,50,50,50,0,0,50,50,50,50,0,50,50,50,50,50,50,50,0,50,0,50,0,50,50,50,50,50,0,50,50,0,50,50,50,50,0,50,50,50,0,50,50,0,50,50,0,50,50,50,50,0,50,50,50,0,50,0
M00119,40,60,80,80,0,80,60,80,60,80,60,80,80,60,80,60,80,80,60,60,80,80,60,60,80,60,20,60,80,80,80,80,60,80,80,60,60,40,80,80,60,60,60,80,80,60,0,80,80,80,80,60,80,60,60,60,60,80,60,80,60,80,80
M00121,10,20,60,60,10,60,60,60,20,90,90,60,60,20,60,90,60,60,20,20,60,60,20,90,60,90,20,80,60,60,60,60,20,80,60,20,90,90,90,60,20,90,20,90,60,60,20,60,80,60,80,80,60,50,50,20,80,60,20,60,90,70,80
M00122,14.29,14.29,14.29,14.29,0,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,0,14.29,0,14.29,14.29,14.29,14.29,14.29,14.29
M00123,33.33,33.33,0,0,33.33,0,0,0,33.33,33.33,33.33,0,0,33.33,0,33.33,0,0,33.33,33.33,0,0,33.33,0,0,33.33,33.33,33.33,0,0,0,0,33.33,33.33,0,33.33,33.33,33.33,33.33,0,33.33,33.33,33.33,33.33,0,33.33,33.33,0,33.33,0,33.33,33.33,0,0,0,33.33,33.33,0,33.33,0,33.33,33.33,33.33
M00124,16.67,33.33,33.33,33.33,16.67,33.33,16.67,33.33,33.33,16.67,16.67,33.33,33.33,33.33,33.33,16.67,33.33,33.33,33.33,33.33,33.33,16.67,33.33,33.33,33.33,16.67,33.33,16.67,33.33,33.33,33.33,33.33,33.33,16.67,33.33,33.33,16.67,33.33,16.67,33.33,33.33,16.67,33.33,16.67,33.33,16.67,33.33,33.33,16.67,16.67,16.67,16.67,33.33,33.33,33.33,33.33,16.67,33.33,33.33,16.67,16.67,33.33,16.67
M00129,16.67,16.67,16.67,16.67,16.67,16.67,0,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,33.33,16.67,16.67,16.67,16.67,33.33,16.67,16.67,16.67,16.67,16.67,16.67,33.33,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,33.33,16.67
M00131,0,25,25,25,25,25,0,25,25,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,25,25,25,25,25,25,25,25,25
M00133,50,50,25,25,25,25,25,25,50,50,50,25,25,50,25,50,25,25,50,50,25,25,50,25,25,25,50,25,25,25,25,25,50,50,25,50,50,50,25,25,50,50,50,25,25,50,50,25,25,25,50,25,25,25,25,50,50,25,50,25,50,25,50
M00134,0,0,50,50,0,50,0,50,0,0,50,50,50,0,50,0,50,50,0,0,50,50,0,0,50,0,0,0,50,50,50,50,0,0,50,0,0,0,0,50,0,0,0,0,50,0,0,50,0,50,0,0,0,0,50,0,0,50,0,50,0,0,0
M00135,100,100,66.67,66.67,66.67,66.67,100,66.67,100,33.33,66.67,66.67,66.67,100,66.67,33.33,100,66.67,100,100,66.67,33.33,100,33.33,66.67,33.33,100,66.67,66.67,66.67,66.67,66.67,100,33.33,66.67,100,33.33,66.67,33.33,66.67,100,66.67,100,66.67,66.67,33.33,100,66.67,33.33,66.67,33.33,66.67,100,66.67,66.67,100,33.33,66.67,100,66.67,66.67,66.67,33.33
